trafonr;lat;lon;conductivity;conductivity total;naam;;verbonden trafo;alle aansluitingen
323;51.575825;7.352293;1.00E+00;3.33E-01;Mengede (D);;41,322,325,328;330,331,334,338,339
324;51.564818;6.907395;1.00E+00;3.33E-01;Nordlicht (D);;42,334;340,341,342
325;51.460589;7.416752;1.00E-08;3.33E-09;Splitsing (D);;323,326,327;331,332,333
326;51.456996;7.417101;1.00E+00;3.33E-01;Kruckel (D);;325;332
327;51.446583;7.313114;1.00E+00;3.33E-01;Witten (D);;325;333
328;51.552239;7.134983;1.00E-08;3.33E-09;Splitsing (D);;41,323,329;334,335,337
329;51.525619;7.124137;1.00E+00;3.33E-01;Hüllen (D);;328,330;335,336
330;51.447875;7.124836;1.00E+00;3.33E-01;Eiberg (D);;329,333;336,347
331;51.444344;6.948321;1.00E+00;3.33E-01;Rosenblumendelle (D);;42,332;343,344
332;51.518297;6.991326;1.00E-08;3.33E-09;Splitsing (D);;331,333,334;344,345,346
333;51.514292;6.998690;1.00E+00;3.33E-01;Karnap (D);;330,332;346,347
334;51.499098;6.925830;1.00E+00;3.33E-01;Büscherhof (D);;324,332;341,342,345
335;51.576354;6.689628;1.00E+00;3.33E-01;Zensenbuch (D);;35,337;348,349
336;51.526020;6.711024;1.00E+00;3.33E-01;Walsum (D);;35,337;350,351
337;51.476591;6.614818;1.00E+00;3.33E-01;Utfort (D);;335,336,338,339;349,351,352,353,354,355,356
338;51.374438;6.868507;1.00E+00;3.33E-01;Selbeck (D);;337;353,355,356
339;51.258848;6.622661;1.00E+00;3.33E-01;Osterath (D);;337,342;352,354,362
340;50.867194;6.648215;1.00E-08;3.33E-09;Splitsing (D);;32,341,347;357,358,368
341;50.952257;6.596307;1.00E+00;3.33E-01;Paffendorf (D);;340,342;358,359
342;51.008311;6.703235;1.00E+00;3.33E-01;Rommerskirche (D);;339,341,343,344,345,346,347;359,360,361,362,363,364,365
343;51.034396;6.620580;1.00E+00;3.33E-01;Neurath (D);;342;360
344;51.090456;6.709595;1.00E+00;3.33E-01;Gohrpunkt (D);;342;361
345;51.071017;6.965236;1.00E+00;3.33E-01;Opladen (D);;342,350,351;363,372,373
346;50.967625;6.808732;1.00E+00;3.33E-01;Brauweilen (D);;342,348;364,366
347;50.796211;6.972407;1.00E+00;3.33E-01;Sechtem (D);;340,342,348,349,355,356;365,367,368,369,379,381
348;50.863679;6.843330;1.00E+00;3.33E-01;Knapsack (D);;346,347;366,367
349;50.767149;7.862780;1.00E+00;3.33E-01;Dauersberg (D);;347,350,351,352,353,354;369,370,371,374,375,376,378
350;51.232686;7.233461;1.00E+00;3.33E-01;Linde (D);;345,349;370,372
351;51.171958;7.122040;1.00E+00;3.33E-01;Halfeshof (D);;345,349;371,373
352;50.758450;8.284522;1.00E+00;3.33E-01;Dillenburg (D);;349,353;375,376,377
353;50.590726;8.480881;1.00E+00;3.33E-01;Asslar (D);;349,352;374,377
354;50.402642;8.069312;1.00E+00;3.33E-01;Limburg (D);;349,356;378,382,383
355;50.642756;7.136540;1.00E+00;3.33E-01;Liessem (D);;347,356;379,380
356;50.401404;7.449053;1.00E+00;3.33E-01;Weissenthurm (D);;347,354,355,357,358,359,360;380,381,382,383,384,385,386,387,388,389
357;49.981823;8.389544;1.00E+00;3.33E-01;Bischofsheim (D);;356;384,385
358;50.385390;7.594190;1.00E+00;3.33E-01;Koblenz (D);;356;386,387
359;49.922365;7.815792;1.00E+00;3.33E-01;Waldlaubersheim (D);;356,360,361;388,390,392
360;49.922776;7.818517;1.00E-08;3.33E-09;Splitsing (D);;356,359,361;389,390,391
361;49.633144;8.420328;1.00E+00;3.33E-01;Bürstadt (D);;359,360;391,392
